,角色,实名,编码2,性别,生日 ,星座,编码3,血型,,,
侠影仙踪,庾太后,宁静,,,,,,,,,
侠影仙踪,赤松道长,于承惠,,,,,,,,,
侠影仙踪,苏瞳,桥本丽香,,,,,,,,,
侠影仙踪,曹骏,谭俊彦,,,,,,,,,
侠影仙踪,曹太尉,李庆祥,,,,,,,,,
侠影仙踪,释空尘,计春华,,,,,,,,,
侠影仙踪,上官剑侍,李菲,,,,,,,,,
侠影仙踪,司马聃,张植绿,,,,,,,,,
侠影仙踪,上官绝,李雪松,,,,,,,,,
侠影仙踪,丁凯,孙伟,,,,,,,,,
侠影仙踪,昊天,晋松,,,,,,,,,
侠影仙踪,倚天,严洪智,,,,,,,,,
夜郎王,,李解,,,,,,,,,
夜郎王,,罗海琼,,,,,,,,,
夜郎王,,吴婷,,,,,,,,,
夜郎王,,陈虹池,,,,,,,,,
夜郎王,,耿圣凯,,,,,,,,,
夜郎王,黑纳,孙大川,,,,,,,,,
夜郎王,,王子文,,,,,,,,,
夜郎王,,袁世龙,,,,,,,,,
